Test 5
5563183d
ProductName: DCS
FileVersion: 1.2.16.39472
ProductVersion: 1.2.16.39472
time = 20150525-224036; ObjectID = 16777984; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198411; Long = 41.639474; Alt = 0.000000; Hdg = 4.601732; type = 2.16.105.30
time = 20150525-224036; ObjectID = 16845056; name = Vulcan; country = 2; Lat = 41.930578; Long = 41.871684; Alt = 18.000000; Hdg = 1.118642; type = 2.16.105.46
time = 20150525-224036; ObjectID = 16847104; name = Soldier M4; country = 2; Lat = 41.926616; Long = 41.859381; Alt = 21.394918; Hdg = 2.896614; type = 2.17.26.90
time = 20150525-224036; ObjectID = 16784128; name = T-55; country = 0; Lat = 42.202847; Long = 41.938895; Alt = 10.218915; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16786176; name = BRDM-2; country = 0; Lat = 42.170696; Long = 42.119468; Alt = 12.711155; Hdg = 0.000000; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16788224; name = BRDM-2; country = 0; Lat = 42.165071; Long = 42.129674; Alt = 14.727321; Hdg = 1.127347; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16826880; name = Ural-4320-31; country = 0; Lat = 42.118795; Long = 42.259645; Alt = 31.203133; Hdg = 4.601722; type = 2.17.25.6
time = 20150525-224036; ObjectID = 16828928; name = UAZ-469; country = 0; Lat = 42.117870; Long = 42.261249; Alt = 32.021378; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224036; ObjectID = 16830976; name = Ural-375; country = 0; Lat = 42.118999; Long = 42.260955; Alt = 31.209557; Hdg = 5.539416; type = 2.17.25.40
time = 20150525-224036; ObjectID = 16778240; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198369; Long = 41.648145; Alt = 0.000000; Hdg = 1.430871; type = 2.16.105.30
time = 20150525-224036; ObjectID = 16845312; name = Hummer; country = 2; Lat = 41.932250; Long = 41.860363; Alt = 18.000000; Hdg = 3.941483; type = 2.17.25.14
time = 20150525-224036; ObjectID = 16782336; name = T-55; country = 0; Lat = 42.206067; Long = 41.915878; Alt = 10.013263; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16784384; name = T-55; country = 0; Lat = 42.200492; Long = 41.914534; Alt = 9.302426; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16786432; name = BRDM-2; country = 0; Lat = 42.168893; Long = 42.115994; Alt = 13.227118; Hdg = 4.380589; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16788480; name = BRDM-2; country = 0; Lat = 42.166972; Long = 42.119757; Alt = 13.854740; Hdg = 4.622541; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16827136; name = Ural-4320-31; country = 0; Lat = 42.118012; Long = 42.259882; Alt = 31.769497; Hdg = 1.556701; type = 2.17.25.6
time = 20150525-224036; ObjectID = 16829184; name = UAZ-469; country = 0; Lat = 42.117951; Long = 42.261261; Alt = 31.966583; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224036; ObjectID = 16845568; name = Hummer; country = 2; Lat = 41.926617; Long = 41.859333; Alt = 18.000000; Hdg = 6.118037; type = 2.17.25.14
time = 20150525-224036; ObjectID = 16782592; name = T-55; country = 0; Lat = 42.202709; Long = 41.907555; Alt = 8.650128; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16784640; name = T-55; country = 0; Lat = 42.200676; Long = 41.915459; Alt = 9.459134; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16786688; name = BRDM-2; country = 0; Lat = 42.164717; Long = 42.118705; Alt = 14.373638; Hdg = 4.119875; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16788736; name = BRDM-2; country = 0; Lat = 42.169443; Long = 42.123881; Alt = 13.453124; Hdg = 6.103332; type = 2.17.26.10
time = 20150525-224036; ObjectID = 16827392; name = Ural-4320-31; country = 0; Lat = 42.118004; Long = 42.260012; Alt = 31.789713; Hdg = 1.531332; type = 2.17.25.6
time = 20150525-224036; ObjectID = 16829440; name = Ural-375; country = 0; Lat = 42.117784; Long = 42.261232; Alt = 32.078907; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224036; ObjectID = 16845824; name = Hummer; country = 2; Lat = 41.927461; Long = 41.863838; Alt = 18.000000; Hdg = 2.169215; type = 2.17.25.14
time = 20150525-224036; ObjectID = 16782848; name = T-55; country = 0; Lat = 42.203069; Long = 41.901314; Alt = 7.802643; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16784896; name = T-55; country = 0; Lat = 42.201294; Long = 41.916100; Alt = 9.641173; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224036; ObjectID = 16786944; name = BRDM-2; country = 0; Lat = 42.170816; Long = 42.115408; Alt = 12.576155; Hdg = 5.221457; type = 2.17.26.10
