time = 20150812-193502; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193502; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065842; Hdg = 3.513834; type = 2.17.104.7
time = 20150812-193502; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736325; Long = 37.666345; Alt = 107.616493; Hdg = 3.513834; type = 2.17.104.80
time = 20150812-193502; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.636319; Long = 37.621232; Alt = 150.390991; Hdg = 0.002370; type = 1.1.6.16
time = 20150812-193502; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705808; Long = 37.638127; Alt = 92.405006; Hdg = 5.569981; type = 2.17.26.10
time = 20150812-193502; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705662; Long = 37.637989; Alt = 94.118614; Hdg = 5.569981; type = 2.17.104.7
time = 20150812-193502; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721779; Long = 37.623662; Alt = 94.912178; Hdg = 1.720934; type = 2.17.26.10
time = 20150812-193502; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.734077; Long = 37.710429; Alt = 243.501862; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193502; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193502; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193502; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193502; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736094; Long = 37.666151; Alt = 108.343155; Hdg = 3.513834; type = 2.17.104.14
time = 20150812-193502; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736549; Long = 37.666554; Alt = 107.919159; Hdg = 3.514245; type = 2.17.104.80
time = 20150812-193502; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705834; Long = 37.637757; Alt = 87.972580; Hdg = 5.569981; type = 2.17.104.7
time = 20150812-193502; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705864; Long = 37.637965; Alt = 89.507942; Hdg = 5.569981; type = 2.17.26.10
time = 20150812-193502; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720934; type = 2.17.104.7
time = 20150812-193502; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721400; Long = 37.624137; Alt = 94.090561; Hdg = 1.720934; type = 2.17.26.10
time = 20150812-193502; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193502; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193512; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193512; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065842; Hdg = 3.513834; type = 2.17.104.7
